market_code,market_name,latitude,longitude,available_tracks,availability_pct,avg_first_month_streams
US,United States,37.0902,-95.7129,57042,65.14,3017481.48
GB,Great Britain,55.3781,-3.4360,57676,65.86,3018370.97
DE,Germany,51.1657,10.4515,58166,66.42,2979750.79
AU,Australia,-25.2744,133.7751,57752,65.95,3009568.56
CA,Canada,56.1304,-106.3468,57220,65.34,3033870.9
JP,Japan,36.2048,138.2529,57773,65.97,2976638.98
BR,Brazil,-14.2350,-51.9253,57901,66.12,3013518.28
FR,France,46.2276,2.2137,58137,66.39,3003931.89
